Horizon,MAE,RMSE,MAPE (%)
15min,0.7047279,1.1979936,7.215419
30min,0.8730035,1.5983299,8.317847
45min,1.0351455,1.9230543,9.445794
60min,1.1830485,2.2139344,10.334662
